[2022-11-02 16:16:13] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:19:37] |               (null)-L0913: m_nDeviceType:00000001.
[2022-11-02 16:19:37] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:19:37] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:19:37] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:19:37] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:19:37] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:19:37] |               (null)-L1088: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-11-02 16:19:37] |               (null)-L1050: [ConnectDevice] end success.
[2022-11-02 16:19:42] |               (null)-L1549: [RegisterFrameCallBack] register RegisterDataCB success
[2022-11-02 16:19:43] |               (null)-L1189: [MV3D_RGBD_RegisterExceptionCallBack] register cbException success
[2022-11-02 16:19:44] |               (null)-L1560: [Start] begin.
[2022-11-02 16:19:44] |               (null)-L1155: VirtualAllEventCallBack nMsgType = 00008001!
[2022-11-02 16:19:44] |               (null)-L1139: Recv Exception ID (1) ExceptionDes (设备掉线).
[2022-11-02 16:19:44] |               (null)-L0512: camera module MV_CC_StartGrabbing fail, nRet:[0x80000206].
[2022-11-02 16:19:44] |               (null)-L1583: [Start] StartGrabbing failed. nRet[0x800600ff].
[2022-11-02 16:20:37] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:20:37] |               (null)-L1737: Build Time[221027_11:18:19], SDK version[0x1010000].
[2022-11-02 16:20:37] |               (null)-L1749: Config (Mv3dRgbdCfg.ini) not exist, use default value .
[2022-11-02 16:20:37] |               (null)-L1752: DebugMode[0], nLogSize[100].
[2022-11-02 16:20:37] |               (null)-L1097: [Init] Begin.
[2022-11-02 16:20:37] |               (null)-L1130: [Init] end success.
[2022-11-02 16:20:37] |               (null)-L0475: [BindDevBySomeWay] start. chParm[00K28591919].
[2022-11-02 16:20:37] |               (null)-L0085: [Enum] begin.
[2022-11-02 16:20:37] |               (null)-L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-11-02 16:20:37] |               (null)-L0105: [Enum] end success.
[2022-11-02 16:20:37] |               (null)-L0584: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-11-02 16:20:37] |               (null)-L1057: [CreateHandle] begin.
[2022-11-02 16:20:37] |               (null)-L0156: [CreateHandle] Get Gige Sdk version:(0x3020201).
[2022-11-02 16:20:37] |               (null)-L1090: [CreateHandle] end success.
[2022-11-02 16:20:37] |               (null)-L0509: [BindDevBySomeWay] end. chParm[00K28591919].
[2022-11-02 16:20:37] |               (null)-L0392: [BindDevice] bind device SN[00K28591919] Model[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254].
[2022-11-02 16:20:37] |               (null)-L0948: [ConnectDevice] begin.
[2022-11-02 16:20:37] |               (null)-L1005: [ConnectDevice] File ./Mv3dRgbdCfg.ini not exist, use default node Num.
[2022-11-02 16:20:37] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-11-02 16:20:37] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-11-02 16:20:37] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-11-02 16:20:37] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-11-02 16:20:37] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-11-02 16:20:37] |               (null)-L0913: m_nDeviceType:00000001.
[2022-11-02 16:20:37] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:20:37] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:20:37] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:20:37] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:20:37] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:20:37] |               (null)-L1088: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-11-02 16:20:37] |               (null)-L1050: [ConnectDevice] end success.
[2022-11-02 16:20:37] |               (null)-L1549: [RegisterFrameCallBack] register RegisterDataCB success
[2022-11-02 16:20:37] |               (null)-L1189: [MV3D_RGBD_RegisterExceptionCallBack] register cbException success
[2022-11-02 16:20:37] |               (null)-L1560: [Start] begin.
[2022-11-02 16:20:38] |               (null)-L1588: [Start] StartGrabbing success.
[2022-11-02 16:20:38] |               (null)-L1594: [Start] end success.
[2022-11-02 16:21:19] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:21:19] |               (null)-L1737: Build Time[221027_11:18:19], SDK version[0x1010000].
[2022-11-02 16:21:19] |               (null)-L1749: Config (Mv3dRgbdCfg.ini) not exist, use default value .
[2022-11-02 16:21:19] |               (null)-L1752: DebugMode[0], nLogSize[100].
[2022-11-02 16:21:19] |               (null)-L1097: [Init] Begin.
[2022-11-02 16:21:19] |               (null)-L1130: [Init] end success.
[2022-11-02 16:21:19] |               (null)-L0475: [BindDevBySomeWay] start. chParm[00K28591919].
[2022-11-02 16:21:19] |               (null)-L0085: [Enum] begin.
[2022-11-02 16:21:19] |               (null)-L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-11-02 16:21:19] |               (null)-L0105: [Enum] end success.
[2022-11-02 16:21:19] |               (null)-L0584: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-11-02 16:21:19] |               (null)-L1057: [CreateHandle] begin.
[2022-11-02 16:21:19] |               (null)-L0156: [CreateHandle] Get Gige Sdk version:(0x3020201).
[2022-11-02 16:21:19] |               (null)-L1090: [CreateHandle] end success.
[2022-11-02 16:21:19] |               (null)-L0509: [BindDevBySomeWay] end. chParm[00K28591919].
[2022-11-02 16:21:19] |               (null)-L0392: [BindDevice] bind device SN[00K28591919] Model[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254].
[2022-11-02 16:21:19] |               (null)-L0948: [ConnectDevice] begin.
[2022-11-02 16:21:20] |               (null)-L1005: [ConnectDevice] File ./Mv3dRgbdCfg.ini not exist, use default node Num.
[2022-11-02 16:21:20] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-11-02 16:21:20] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-11-02 16:21:20] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-11-02 16:21:20] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-11-02 16:21:20] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-11-02 16:21:20] |               (null)-L0913: m_nDeviceType:00000001.
[2022-11-02 16:21:20] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:21:20] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:21:20] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:21:20] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:21:20] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:21:20] |               (null)-L1088: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-11-02 16:21:20] |               (null)-L1050: [ConnectDevice] end success.
[2022-11-02 16:21:20] |               (null)-L1549: [RegisterFrameCallBack] register RegisterDataCB success
[2022-11-02 16:21:20] |               (null)-L1189: [MV3D_RGBD_RegisterExceptionCallBack] register cbException success
[2022-11-02 16:21:20] |               (null)-L1560: [Start] begin.
[2022-11-02 16:21:20] |               (null)-L1588: [Start] StartGrabbing success.
[2022-11-02 16:21:20] |               (null)-L1594: [Start] end success.
[2022-11-02 16:21:48] |               (null)-L1155: VirtualAllEventCallBack nMsgType = 00008001!
[2022-11-02 16:21:48] |               (null)-L1139: Recv Exception ID (1) ExceptionDes (设备掉线).
[2022-11-02 16:23:15] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:23:15] |               (null)-L1737: Build Time[221027_11:18:19], SDK version[0x1010000].
[2022-11-02 16:23:15] |               (null)-L1749: Config (Mv3dRgbdCfg.ini) not exist, use default value .
[2022-11-02 16:23:15] |               (null)-L1752: DebugMode[0], nLogSize[100].
[2022-11-02 16:23:15] |               (null)-L1097: [Init] Begin.
[2022-11-02 16:23:15] |               (null)-L1130: [Init] end success.
[2022-11-02 16:23:15] |               (null)-L0475: [BindDevBySomeWay] start. chParm[00K28591919].
[2022-11-02 16:23:15] |               (null)-L0085: [Enum] begin.
[2022-11-02 16:23:15] |               (null)-L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-11-02 16:23:15] |               (null)-L0105: [Enum] end success.
[2022-11-02 16:23:15] |               (null)-L0584: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-11-02 16:23:15] |               (null)-L1057: [CreateHandle] begin.
[2022-11-02 16:23:15] |               (null)-L0156: [CreateHandle] Get Gige Sdk version:(0x3020201).
[2022-11-02 16:23:15] |               (null)-L1090: [CreateHandle] end success.
[2022-11-02 16:23:15] |               (null)-L0509: [BindDevBySomeWay] end. chParm[00K28591919].
[2022-11-02 16:23:15] |               (null)-L0392: [BindDevice] bind device SN[00K28591919] Model[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254].
[2022-11-02 16:23:15] |               (null)-L0948: [ConnectDevice] begin.
[2022-11-02 16:23:15] |               (null)-L1005: [ConnectDevice] File ./Mv3dRgbdCfg.ini not exist, use default node Num.
[2022-11-02 16:23:15] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-11-02 16:23:15] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-11-02 16:23:15] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-11-02 16:23:15] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-11-02 16:23:15] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-11-02 16:23:15] |               (null)-L0913: m_nDeviceType:00000001.
[2022-11-02 16:23:15] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:23:15] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:23:15] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:23:15] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:23:15] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:23:15] |               (null)-L1088: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-11-02 16:23:15] |               (null)-L1050: [ConnectDevice] end success.
[2022-11-02 16:23:15] |               (null)-L1549: [RegisterFrameCallBack] register RegisterDataCB success
[2022-11-02 16:23:15] |               (null)-L1189: [MV3D_RGBD_RegisterExceptionCallBack] register cbException success
[2022-11-02 16:23:15] |               (null)-L1560: [Start] begin.
[2022-11-02 16:23:16] |               (null)-L1588: [Start] StartGrabbing success.
[2022-11-02 16:23:16] |               (null)-L1594: [Start] end success.
[2022-11-02 16:23:21] |               (null)-L1155: VirtualAllEventCallBack nMsgType = 00008001!
[2022-11-02 16:23:21] |               (null)-L1139: Recv Exception ID (1) ExceptionDes (设备掉线).
[2022-11-02 16:26:32] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:26:32] |               (null)-L1737: Build Time[221027_11:18:19], SDK version[0x1010000].
[2022-11-02 16:26:32] |               (null)-L1749: Config (Mv3dRgbdCfg.ini) not exist, use default value .
[2022-11-02 16:26:32] |               (null)-L1752: DebugMode[0], nLogSize[100].
[2022-11-02 16:26:32] |               (null)-L1097: [Init] Begin.
[2022-11-02 16:26:32] |               (null)-L1130: [Init] end success.
[2022-11-02 16:26:32] |               (null)-L0475: [BindDevBySomeWay] start. chParm[00K28591919].
[2022-11-02 16:26:32] |               (null)-L0085: [Enum] begin.
[2022-11-02 16:26:32] |               (null)-L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-11-02 16:26:32] |               (null)-L0105: [Enum] end success.
[2022-11-02 16:26:32] |               (null)-L0584: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-11-02 16:26:32] |               (null)-L1057: [CreateHandle] begin.
[2022-11-02 16:26:32] |               (null)-L0156: [CreateHandle] Get Gige Sdk version:(0x3020201).
[2022-11-02 16:26:32] |               (null)-L1090: [CreateHandle] end success.
[2022-11-02 16:26:32] |               (null)-L0509: [BindDevBySomeWay] end. chParm[00K28591919].
[2022-11-02 16:26:32] |               (null)-L0392: [BindDevice] bind device SN[00K28591919] Model[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254].
[2022-11-02 16:26:32] |               (null)-L0948: [ConnectDevice] begin.
[2022-11-02 16:26:32] |               (null)-L1005: [ConnectDevice] File ./Mv3dRgbdCfg.ini not exist, use default node Num.
[2022-11-02 16:26:32] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-11-02 16:26:32] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-11-02 16:26:33] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-11-02 16:26:33] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-11-02 16:26:33] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-11-02 16:26:33] |               (null)-L0913: m_nDeviceType:00000001.
[2022-11-02 16:26:33] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:26:33] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:26:33] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:26:33] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:26:33] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:26:33] |               (null)-L1088: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-11-02 16:26:33] |               (null)-L1050: [ConnectDevice] end success.
[2022-11-02 16:26:33] |               (null)-L1549: [RegisterFrameCallBack] register RegisterDataCB success
[2022-11-02 16:26:33] |               (null)-L1189: [MV3D_RGBD_RegisterExceptionCallBack] register cbException success
[2022-11-02 16:26:33] |               (null)-L1560: [Start] begin.
[2022-11-02 16:26:33] |               (null)-L1588: [Start] StartGrabbing success.
[2022-11-02 16:26:33] |               (null)-L1594: [Start] end success.
[2022-11-02 16:26:45] |               (null)-L2703: [DepthMapConvert] m_pDepthBuffer new success.
[2022-11-02 16:26:45] |               (null)-L2724: [DepthMapConvert] m_pPointBuffer new success.
[2022-11-02 16:26:45] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:26:45] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:26:45] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:26:45] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:26:45] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:26:45] |               (null)-L2742: [DepthMapConvert] RGBDSensorCali camSerialNum(00K28591919).
[2022-11-02 16:26:45] |               (null)-L0076: [CDepthConvertVm::Init] begin.
[2022-11-02 16:26:45] |               (null)-L0042: [CDepthConvertVm::DeInit] begin.
[2022-11-02 16:26:45] |               (null)-L0068: [CDepthConvertVm::DeInit] end.
[2022-11-02 16:26:45] |               (null)-L0106: [CDepthConvertVm::Init] m_stBinoMemTab[0].size[384], m_stBinoMemTab[1].size[0].
[2022-11-02 16:26:45] |               (null)-L0158: [CDepthConvertVm::Init] MVB3D_BINOSTEREO_Create success.
[2022-11-02 16:26:45] |               (null)-L0169: [CDepthConvertVm::Init] end.
[2022-11-02 16:27:01] |               (null)-L1155: VirtualAllEventCallBack nMsgType = 00008001!
[2022-11-02 16:27:01] |               (null)-L1139: Recv Exception ID (1) ExceptionDes (设备掉线).
[2022-11-02 16:28:06] |               (null)-L1733: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-11-02 16:28:06] |               (null)-L1737: Build Time[221027_11:18:19], SDK version[0x1010000].
[2022-11-02 16:28:06] |               (null)-L1749: Config (Mv3dRgbdCfg.ini) not exist, use default value .
[2022-11-02 16:28:06] |               (null)-L1752: DebugMode[0], nLogSize[100].
[2022-11-02 16:28:06] |               (null)-L1097: [Init] Begin.
[2022-11-02 16:28:06] |               (null)-L1130: [Init] end success.
[2022-11-02 16:28:06] |               (null)-L0475: [BindDevBySomeWay] start. chParm[00K28591919].
[2022-11-02 16:28:06] |               (null)-L0085: [Enum] begin.
[2022-11-02 16:28:07] |               (null)-L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-11-02 16:28:07] |               (null)-L0105: [Enum] end success.
[2022-11-02 16:28:07] |               (null)-L0584: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-11-02 16:28:07] |               (null)-L1057: [CreateHandle] begin.
[2022-11-02 16:28:07] |               (null)-L0156: [CreateHandle] Get Gige Sdk version:(0x3020201).
[2022-11-02 16:28:07] |               (null)-L1090: [CreateHandle] end success.
[2022-11-02 16:28:07] |               (null)-L0509: [BindDevBySomeWay] end. chParm[00K28591919].
[2022-11-02 16:28:07] |               (null)-L0392: [BindDevice] bind device SN[00K28591919] Model[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254].
[2022-11-02 16:28:07] |               (null)-L0948: [ConnectDevice] begin.
[2022-11-02 16:28:07] |               (null)-L1005: [ConnectDevice] File ./Mv3dRgbdCfg.ini not exist, use default node Num.
[2022-11-02 16:28:07] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-11-02 16:28:07] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-11-02 16:28:07] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-11-02 16:28:07] |               (null)-L0938: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-11-02 16:28:07] |               (null)-L0923: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-11-02 16:28:07] |               (null)-L0913: m_nDeviceType:00000001.
[2022-11-02 16:28:07] |               (null)-L0267: [GetIPString] nCurrentIp[3232267619] pIPString is 192.168.125.99 .
[2022-11-02 16:28:07] |               (null)-L0267: [GetIPString] nCurrentIp[4294967040] pIPString is 255.255.255.0 .
[2022-11-02 16:28:07] |               (null)-L0267: [GetIPString] nCurrentIp[3232267774] pIPString is 192.168.125.254 .
[2022-11-02 16:28:07] |               (null)-L0267: [GetIPString] nCurrentIp[3232267721] pIPString is 192.168.125.201 .
[2022-11-02 16:28:07] |               (null)-L1993: [CamGetDeviceInfo] device SN[00K28591919] ModelName[MV-DB500S-R] ip[192.168.125.99] SubNetmask[255.255.255.0] gateway[192.168.125.254] 
[2022-11-02 16:28:07] |               (null)-L1088: [FileAccessRead] MV_CC_FileAccessRead success.
[2022-11-02 16:28:07] |               (null)-L1050: [ConnectDevice] end success.
[2022-11-02 16:28:07] |               (null)-L1549: [RegisterFrameCallBack] register RegisterDataCB success
[2022-11-02 16:28:07] |               (null)-L1189: [MV3D_RGBD_RegisterExceptionCallBack] register cbException success
[2022-11-02 16:28:07] |               (null)-L1560: [Start] begin.
[2022-11-02 16:28:07] |               (null)-L1588: [Start] StartGrabbing success.
